n,k,output,accuracy,f1score
8,3,explosive,0.9923076923076923,0.9876543209876543
9,1,oxidizer,0.9230769230769231,0.8809523809523809
9,1,compressed_gas,0.9384615384615385,0.9130434782608695
9,1,explosive,0.9769230769230769,0.9620253164556962
9,2,oxidizer,0.9615384615384616,0.9315068493150684
9,2,compressed_gas,0.9538461538461539,0.9375
9,2,explosive,0.9461538461538461,0.9213483146067416
9,3,oxidizer,0.9461538461538461,0.9278350515463918
9,3,compressed_gas,0.9153846153846154,0.8641975308641975
9,3,explosive,0.9615384615384616,0.9411764705882353
10,1,oxidizer,0.9692307692307692,0.9487179487179487
10,1,compressed_gas,0.9615384615384616,0.9473684210526315
10,1,explosive,0.9538461538461539,0.9302325581395349
10,2,oxidizer,0.9384615384615385,0.9130434782608695
10,2,compressed_gas,0.9384615384615385,0.9024390243902439
10,2,explosive,0.9846153846153847,0.9761904761904762
10,3,oxidizer,0.9615384615384616,0.9411764705882353
10,3,compressed_gas,0.9538461538461539,0.9318181818181818
10,3,explosive,0.9615384615384616,0.9397590361445783
11,1,oxidizer,0.9461538461538461,0.9090909090909091
11,1,compressed_gas,0.9461538461538461,0.9230769230769231
11,1,explosive,0.9692307692307692,0.9555555555555556
11,2,oxidizer,0.9307692307692308,0.9010989010989011
11,2,compressed_gas,0.9230769230769231,0.8863636363636364
11,2,explosive,0.9692307692307692,0.9473684210526315
11,3,oxidizer,0.9461538461538461,0.9195402298850575
11,3,compressed_gas,0.9230769230769231,0.8780487804878049
11,3,explosive,0.9769230769230769,0.9655172413793104
12,1,oxidizer,0.9461538461538461,0.9014084507042254
12,1,compressed_gas,0.9076923076923077,0.88
12,1,explosive,0.9307692307692308,0.896551724137931
12,2,oxidizer,0.9615384615384616,0.945054945054945
12,2,compressed_gas,0.9384615384615385,0.9069767441860465
12,2,explosive,0.9846153846153847,0.975609756097561
12,3,oxidizer,0.9384615384615385,0.9111111111111111
12,3,compressed_gas,0.9307692307692308,0.8831168831168831
12,3,explosive,0.9769230769230769,0.9647058823529412
13,1,oxidizer,0.9769230769230769,0.9647058823529412
13,1,compressed_gas,0.9538461538461539,0.9318181818181818
13,1,explosive,0.9692307692307692,0.9545454545454546
13,2,oxidizer,0.9384615384615385,0.9024390243902439
13,2,compressed_gas,0.9384615384615385,0.9090909090909091
13,2,explosive,0.9615384615384616,0.9397590361445783
13,3,oxidizer,0.9307692307692308,0.891566265060241
13,3,compressed_gas,0.9230769230769231,0.8913043478260869
13,3,explosive,0.9615384615384616,0.9397590361445783
14,1,oxidizer,0.9615384615384616,0.9438202247191011
14,1,compressed_gas,0.9461538461538461,0.9156626506024096
14,1,explosive,0.9692307692307692,0.9534883720930233
14,2,oxidizer,0.9846153846153847,0.9714285714285714
14,2,compressed_gas,0.9846153846153847,0.9772727272727273
14,2,explosive,0.9846153846153847,0.9791666666666666
14,3,oxidizer,0.9461538461538461,0.9247311827956989
14,3,compressed_gas,0.9076923076923077,0.8723404255319149
14,3,explosive,0.9538461538461539,0.9142857142857143
15,1,oxidizer,0.9538461538461539,0.9375
15,1,compressed_gas,0.9384615384615385,0.9259259259259259
15,1,explosive,0.9769230769230769,0.9473684210526315
15,2,oxidizer,0.9615384615384616,0.9411764705882353
15,2,compressed_gas,0.9384615384615385,0.9024390243902439
15,2,explosive,0.9615384615384616,0.945054945054945
15,3,oxidizer,0.9538461538461539,0.9210526315789473
15,3,compressed_gas,0.9384615384615385,0.8947368421052632
15,3,explosive,0.9692307692307692,0.9622641509433962
16,1,oxidizer,0.9538461538461539,0.9318181818181818
16,1,compressed_gas,0.9153846153846154,0.8641975308641975
16,1,explosive,0.9769230769230769,0.9662921348314607
