n,k,output,accuracy,f1score
20,2,corrosive,0.9956876347614138,0.9891611687087654
20,2,environmental_hazard,0.9985937939439392,0.9965572641725958
20,2,acute_toxic,1.0,1.0
20,2,health_hazard,1.0,1.0
20,2,flammable,0.9979375644511109,0.9947191550648103
20,3,corrosive,0.9967185449090569,0.991715976331361
20,3,environmental_hazard,0.9989686855428465,0.9974038234599952
20,3,acute_toxic,1.0,1.0
20,3,health_hazard,1.0,1.0
20,3,flammable,0.997187324207763,0.9928503336510963
21,1,corrosive,0.9978438173807068,0.9945484712017065
21,1,environmental_hazard,0.9988750351551514,0.9971360381861575
21,1,acute_toxic,1.0,1.0
21,1,health_hazard,1.0,1.0
21,1,flammable,0.9968125996062623,0.992018779342723
21,2,corrosive,0.9952188994093935,0.9879289940828402
21,2,environmental_hazard,0.9992500234367676,0.9981515711645101
21,2,acute_toxic,1.0,1.0
21,2,health_hazard,1.0,1.0
21,2,flammable,0.9952188994093935,0.9878019612532887
21,3,corrosive,0.9973748359272454,0.9934272300469483
21,3,environmental_hazard,0.9984999062441403,0.9962406015037594
21,3,acute_toxic,1.0,1.0
21,3,health_hazard,1.0,1.0
21,3,flammable,0.9981248828051753,0.9953314659197012
22,1,corrosive,0.9955001406206057,0.988609397247271
22,1,environmental_hazard,0.9986875410143433,0.9966887417218543
22,1,acute_toxic,1.0,1.0
22,1,health_hazard,1.0,1.0
22,1,flammable,0.9965313583950501,0.9913490764554594
22,2,corrosive,0.9958751289022219,0.9897148200093502
22,2,environmental_hazard,0.9989687822255554,0.9973939824686093
22,2,acute_toxic,1.0,1.0
22,2,health_hazard,1.0,1.0
22,2,flammable,0.9970938408174744,0.9926557687751718
22,3,corrosive,0.9976561035064692,0.9940376818507035
22,3,environmental_hazard,0.9988749296831052,0.9972222222222222
22,3,acute_toxic,1.0,1.0
22,3,health_hazard,1.0,1.0
22,3,flammable,0.9957809863116445,0.9893086243763364
23,1,corrosive,0.9965313583950501,0.9912467471019636
23,1,environmental_hazard,0.9986875410143433,0.9967259120673526
23,1,acute_toxic,1.0,1.0
23,1,health_hazard,1.0,1.0
23,1,flammable,0.9973750820286866,0.9933554817275747
23,2,corrosive,0.9968125996062623,0.9919278252611586
23,2,environmental_hazard,0.9988750351551514,0.9971870604781997
23,2,acute_toxic,1.0,1.0
23,2,health_hazard,1.0,1.0
23,2,flammable,0.9977500703103028,0.9942965779467681
23,3,corrosive,0.9962497656103506,0.9905926622765757
23,3,environmental_hazard,0.998781173823364,0.996927440321437
23,3,acute_toxic,1.0,1.0
23,3,health_hazard,1.0,1.0
23,3,flammable,0.9975623476467279,0.9939786938397406
24,1,corrosive,0.9974688290990906,0.9935912651317351
24,1,environmental_hazard,0.9978438173807068,0.9946524064171123
24,1,acute_toxic,1.0,1.0
24,1,health_hazard,1.0,1.0
24,1,flammable,0.998125058591919,0.9953183520599251
24,2,corrosive,0.9967188525358582,0.9916327994262492
24,2,environmental_hazard,0.998125058591919,0.9953379953379954
24,2,acute_toxic,1.0,1.0
24,2,health_hazard,1.0,1.0
24,2,flammable,0.9973750820286866,0.9933680720037896
24,3,corrosive,0.9969060566285393,0.9923451635351427
24,3,environmental_hazard,0.9989686855428465,0.9973602111831054
24,3,acute_toxic,1.0,1.0
24,3,health_hazard,1.0,1.0
24,3,flammable,0.9967185449090569,0.9917355371900827
