k,n,output,accuracy,f1score
1,4,Compressed Gas,0.9988894397620228,0.5333333333333333
1,4,Corrosive,0.9614278631631136,0.8420625253755583
1,4,Environmental Hazard,0.9437778879524046,0.3878212049233427
1,4,Explosive,0.9992067426871591,0.13043478260869565
1,4,Flammable,0.9732275656916212,0.6264526840066409
1,4,Health Hazard,0.9564700049578582,0.5499282345704326
1,4,Irritant,0.7664055528011899,0.8400787455026815
1,4,Oxidizer,0.9986514625681705,0.34615384615384615
1,4,nan,0.8342290530490828,0.500269026125426
2,4,Acute Toxic,0.9589282881167698,0.600270218104613
2,4,Compressed Gas,0.9991670633031889,0.5227272727272727
2,4,Corrosive,0.9600388703791846,0.8382175832998796
2,4,Environmental Hazard,0.9427653498334126,0.390625
2,4,Explosive,0.9991075678248453,0.08163265306122448
2,4,Flammable,0.9744367761383468,0.628208826074416
2,4,Health Hazard,0.9555568776772966,0.5442342892007321
2,4,Irritant,0.7693360304616849,0.8423706072885467
2,4,Oxidizer,0.9987109313025544,0.3010752688172043
2,4,nan,0.8360899571632556,0.5012371009595076
3,4,Acute Toxic,0.9597215611613518,0.6149763033175355
3,4,Compressed Gas,0.9991472314770744,0.5567010309278351
3,4,Corrosive,0.961466761859432,0.842964519518306
3,4,Environmental Hazard,0.9439552594002856,0.3956372968349016
3,4,Explosive,0.9991075678248453,0.0425531914893617
3,4,Flammable,0.9733063620498176,0.6292011019283746
3,4,Health Hazard,0.9574210693320641,0.5465681098204858
3,4,Irritant,0.7663810883706171,0.8402885110767645
3,4,Oxidizer,0.9987109313025544,0.2696629213483146
3,4,nan,0.8346818975091227,0.4929440389294404
1,5,Acute Toxic,0.9586712940009916,0.6009191880505553
1,5,Compressed Gas,0.9988894397620228,0.46153846153846156
1,5,Corrosive,0.9610907288051562,0.841313490779683
1,5,Environmental Hazard,0.944194348041646,0.4038135593220339
1,5,Explosive,0.9989687654933069,0.037037037037037035
1,5,Flammable,0.9726326227069906,0.6252036936447583
1,5,Health Hazard,0.9558948934060486,0.5393537696768849
1,5,Irritant,0.7691422905304909,0.8418836504896567
1,5,Oxidizer,0.9987109568666336,0.3157894736842105
1,5,nan,0.8360337134357957,0.49951573849878933
2,5,Acute Toxic,0.9586506425511662,0.5969456794896578
2,5,Compressed Gas,0.998988576868158,0.48484848484848486
2,5,Corrosive,0.9617444074250358,0.843361753958587
2,5,Environmental Hazard,0.944113914009202,0.39136069114470845
2,5,Explosive,0.9992265587815327,0.04878048780487805
2,5,Flammable,0.973504680310963,0.6223855285472019
2,5,Health Hazard,0.956369982547993,0.551203590371277
2,5,Irritant,0.7694946850706013,0.8423208931938735
2,5,Oxidizer,0.9986316039980961,0.2736842105263158
2,5,nan,0.835415675075361,0.5001505751972535
3,5,Acute Toxic,0.9598008884658099,0.6075508228460794
3,5,Compressed Gas,0.9991670633031889,0.5625
3,5,Corrosive,0.9612089481199428,0.843042850264805
3,5,Environmental Hazard,0.9429438362684436,0.39265357821405955
3,5,Explosive,0.999206726955418,0.047619047619047616
3,5,Flammable,0.9742582897033158,0.6316685584562997
3,5,Health Hazard,0.9572227510709186,0.5579012092641935
3,5,Irritant,0.7715968586387435,0.8443164767427714
3,5,Oxidizer,0.9988100904331271,0.4
3,5,nan,0.8366254164683484,0.49866114897760466
1,6,Acute Toxic,0.9579970252850768,0.5959557420831744
1,6,Compressed Gas,0.9987902825979177,0.48739495798319327
1,6,Corrosive,0.9585126425384234,0.831208649346458
1,6,Environmental Hazard,0.944194348041646,0.3992314261315115
1,6,Explosive,0.9991670798215171,0.08695652173913043
1,6,Flammable,0.9732870599900842,0.6225833566825442
1,6,Health Hazard,0.9548636588993554,0.5409439290036305
1,6,Irritant,0.7679920674268715,0.8415091783512836
1,6,Oxidizer,0.9985919682697075,0.25263157894736843
1,6,nan,0.8352999504214179,0.4966361597672586
2,6,Acute Toxic,0.9592059336823735,0.5998832911884847
